MCU;STO;F_VENDAS;CAPTACAO;SE;REATE;REDE;CAV;EMAIL;DIAMANTES;PEMAIS;G50
14476;32300140;AC ABREU E LIMA;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;MAGNA COSTA BARROS;peacabreuelima@correios.com.br;RECIFE DIAMANTE;;G50
14493;32300310;AC AGUA PRETA;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;ARISSON DE SOUSA MONTEIRO;peacaguapreta@correios.com.br;;;
14495;32300336;AC ALIANCA;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;MAGNA COSTA BARROS;peacalianca@correios.com.br;;;
14684;32302291;AC ARACOIABA;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;MAGNA COSTA BARROS;peacaracoiaba@correios.com.br;;;
14480;32300182;AC BARREIROS;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;ARISSON DE SOUSA MONTEIRO;peacbarreiros@correios.com.br;;;
14488;32300263;AC BOA VIAGEM;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;ARISSON DE SOUSA MONTEIRO;peacboaviagem@correios.com.br;RECIFE DIAMANTE;PERNAMBUCO +;G50
14491;32300298;AC BOM JARDIM;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;MAGNA COSTA BARROS;peacbomjardim@correios.com.br;;;G50
14497;32300352;AC BUENOS AIRES;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;MAGNA COSTA BARROS;peacbuenosaires@correios.com.br;;;
14499;32300379;AC CABO DE SANTO AGOSTINHO;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;ARISSON DE SOUSA MONTEIRO;PEACCABOSAGOSTINHO@correios.com.br;RECIFE DIAMANTE;PERNAMBUCO +;G50
14479;32300174;AC CAMARA MUNICIPAL DE RECIFE;GERENCIA DE ATENDIMENTO;PE;REATE 01 - PE;REDE PRÓPRIA - PE;ARISSON DE SOUSA MONTEIRO;peaccamaramunicipal@correios.com.br;RECIFE DIAMANTE;;
