TIPO SERVICO;TIPO;INICIO;FIM;PLANO;FORECOLOR;BACKCOLOR;WEBCLASS;WEBCLASSTEXT
SEDEX;PACOTE;1000000;53689999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;53700000;53989999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;54000000;55119999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;55190000;55199999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;55290000;55304999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;55590000;55619999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56000000;56119999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56170000;56189999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56210000;56219999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56280000;56399999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56440000;56459999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56500000;56519999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56900000;56929999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;57000000;57099999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;57300000;57319999;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;58000000;99999996;SEDEX EXPORTAÇÃO;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;55150000;55169999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57100000;57129999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57150000;57179999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57200000;57209999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57230000;57249999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57265000;57269999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57480000;57489999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57500000;57509999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57600000;57614999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57800000;57819999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57840000;57859999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57955000;57959999;SEDEX PL2;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;57130000;57149999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57180000;57199999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57210000;57229999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57250000;57264999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57270000;57299999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57320000;57479999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57490000;57499999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57510000;57599999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57615000;57799999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57820000;57839999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57860000;57954999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;57960000;57999999;SEDEX PL3;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;53690000;53699999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;53990000;53999999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;55120000;55149999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;55170000;55189999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;55200000;55289999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;55305000;55589999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;55620000;55999999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;56120000;56169999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;56190000;56209999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;56220000;56279999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
SEDEX;PACOTE;56400000;56439999;SEDEX PL4;&H954A8B;3;bg-warning;text-white
