Sigla;Descrição;Categoria;Tipo Concoord
AA; ETIQUETA LOGICA SEDEX AA; SEDEX;SEDEX
AB; ETIQUETA LOGICA SEDEX AB; SEDEX;SEDEX
AC; ETIQUETA LOGICA SEDEX AC; SEDEX;SEDEX
AD; ETIQUETA LOGICA SEDEX AD; SEDEX;SEDEX
AE; ETIQUETA LOGICA SEDEX AE; SEDEX;SEDEX
AJ; ETIQUETA LOG SEDEX EXTRA GRANDE; SEDEX;SEDEX
AK; ETIQUETA LOGICA PAC AK; ENCOMENDA PAC;PAC
AL; ETIQUETA LOGICA PAC AL; ENCOMENDA PAC;PAC
AQ; ETIQUETA LOG PAC EXTRA GRANDE; ENCOMENDA PAC;PAC
AR; AVISO DE RECEBIMENTO; OBJETO INTERNACIONAL;OUTROS
AS; ENCOMENDA PAC - ACAO SOCIAL; ENCOMENDA PAC SERVIÇO;PAC
AV; ETIQUETA LOGICA CORREIOS MINI ENVIOS; ENCOMENDA PAC MINI;PAC
AW; ETIQUETA LOGICA CORREIOS MINI ENVIOS; ENCOMENDA PAC MINI;PAC
AX; ETIQUETA LOGICA SEDEX 10; SEDEX 10;SEDEX
AY; ETIQUETA LOGICA SEDEX 12; SEDEX 12;SEDEX
AZ; ETIQUETA LOGICA SEDEX HOJE; SEDEX HOJE;SEDEX
BC; ETIQUETA LOG REM EXPRESSA; REMESSA EXPRESSA TALÃO/CARTÃO;OUTROS
BE; REMESSA ECONÔMICA SEM AR; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
BF; REMESSA EXPRESSA S/ AR DIGITAL; REMESSA EXPRESSA TALÃO/CARTÃO;OUTROS
BG; REMESSA ECONÔMICA COM AR; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
BH; ETIQUETA LOG REG FIS DIG; REGISTRADO CONVENCIONAL;OUTROS
BI; ETIQUETA LÓG REGIST URG; REGISTRADO LÓGICO;OUTROS
BJ; ETIQ LOG REM EXPRESSA C/AR; REMESSA EXPRESSA TALÃO/CARTÃO;OUTROS
